label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
1	366 m^2	0.1783	Computer Engineering	Computer Science, Computer Game Design	284	rabbit	705	-0.0034	1235	1.2494	0.2988	491
1	397 m^2	0.296	Computational Media	Biotechnology, Computer Engineering, Computer Science	592	dog	178	0.9076	833	0.6546	0.2344	704
0	649 m^2	0.3971	Statistics	Natural Language Processing, Bioengineering, Computational Media	184	guinea pig	179	0.3361	341	0.586	0.8219	811
2	241 m^2	1.0009	Biotechnology	None	862	hamster	1063	0.8963	999	-0.6328	0.8331	697
0	922 m^2	0.6497	Natural Language Processing	Natural Language Processing, Bioinformatics, Data Science, Human Computer Interaction, Bioengineering	86	rat	179	0.4478	350	0.6547	1.1543	321
1	118 m^2	0.794	Technology and Information Management	Statistics, Computer Science	591	Fish	181	0.5108	782	1.1256	-0.4196	457
2	105 m^2	0.8362	Robotics Engineering	Technology and Information Management, Games and Playable Media, Applied Mathematics	923	hamster	165	0.8655	149	0.573	0.3698	-218
1	987 m^2	0.3385	Bioengineering	Computer Science, Statistics	159	rabbit	411	0.1319	643	1.4767	0.5714	383
2	435 m^2	0.6391	Games and Playable Media	Technology and Information Management, Games and Playable Media, Applied Mathematics	696	hamster	855	1.1092	173	-0.1814	0.6108	43
0	832 m^2	0.0285	Computer Game Design	Data Science, Computational Media	418	rat	334	0.5916	484	0.5822	0.7885	329
2	448 m^2	0.7592	Robotics Engineering	Games and Playable Media	574	bird	517	1.1931	816	-0.0107	0.8636	0
0	573 m^2	0.9718	Bioengineering	Technology and Information Management	127	fish	225	0.5123	962	0.8827	0.7422	676
0	730 m^2	0.9135	Computer Game Design	Bioinformatics, Computational Media, Bioengineering, Natural Language Processing	181	guinea pig	165	0.3417	-200	0.6274	0.8726	889
2	-212 m^2	0.6103	Computer Science	Robotics Engineering, Games and Playable Media	611	hamster	401	0.7766	394	-0.1317	0.6983	342
1	440 m^2	-0.4326	Technology and Information Management	Computer Game Design, Biotechnology, Computer Science	1128	rat	383	0.2231	1230	0.8178	-0.223	641
2	-230 m^2	0.7028	Biotechnology	Biotechnology, Computer Game Design	911	bird	877	0.7217	612	0.2103	0.7953	198
1	444 m^2	-0.2442	electrical engineering	Computer Engineering, Statistics, Biotechnology, Computer Game Design	731	rat	501	0.0379	1161	0.9929	0.2043	802
1	491 m^2	-0.0916	Data Science	Statistics, Biotechnology, Computer Game Design	613	Chicken	142	0.1365	1732	0.8979	0.3275	308
0	1289 m^2	1.065	Technology and Information Management	Electrical Engineering, Bioengineering, Bioinformatics	-37	rat	-113	0.2969	310	0.8597	0.675	625
0	948 m^2	0.084	Natural Language Processing	Applied Mathematics, Games and Playable Media	98	rat	529	0.5021	1223	0.0672	0.7992	370
1	746 m^2	0.0021	Electrical Engineering	Computer Game Design, Computer Science, Computer Engineering, Biotechnology	791	cat	67	0.5581	1302	0.909	0.4273	432
2	-71 m^2	0.434	Games and Playable Media	Robotics Engineering, Technology and Information Management	956	hamster	367	0.8538	-80	0.1279	0.8255	884
1	640 m^2	0.1216	Human Computer Interaction	Statistics, Computer Game Design, Biotechnology, Computer Engineering	648	dog	468	-0.2285	1368	0.8884	-0.126	787
1	523 m^2	0.2138	Human Computer Interaction	Data Science	527	chicken	500	0.1686	993	1.2391	0.4764	878
1	879 m^2	-0.1084	Bioinformatics	Computer Engineering, Statistics, Biotechnology, Computer Science	425	CHICKEN	-40	0.0412	430	1.0433	-0.3394	317
2	-155 m^2	0.8424	Games and Playable Media	Games and Playable Media, Applied Mathematics, Robotics Engineering	766	reptile	664	0.9344	68	0.1306	0.4588	-344
1	838 m^2	0.0331	Technology and Information Management	Statistics	904	pig	414	n/a	744	0.9564	-0.3141	201
2	181 m^2	0.9037	Computer Science	Games and Playable Media, Robotics Engineering, Technology and Information Management	1084	hamster	1017	0.8662	43	0.2005	0.4153	478
2	769 m^2	0.633	Robotics Engineering	Games and Playable Media, Robotics Engineering, Technology and Information Management	818	hamster	420	0.7688	-20	0.3059	0.8609	-382
1	873 m^2	-0.1835	Electrical Engineering	Computer Game Design, Statistics, Biotechnology, Computer Engineering	664	dog	797	0.3209	1145	0.729	-0.0757	242
0	1156 m^2	0.6013	Statistics	Biotechnology, Computer Engineering, Computer Science, Computer Game Design	9	ferret	85	0.4418	-24	0.7506	0.912	825
2	-15 m^2	0.8259	Biotechnology	Bioinformatics, Computational Media, Natural Language Processing, Human Computer Interaction	681	bird	281	0.7119	492	0.1631	0.8464	52
0	1697 m^2	0.2792	Computer Game Design	Computational Media, Electrical Engineering, Natural Language Processing	139	rat	391	0.1312	-339	0.2688	0.9757	426
1	805 m^2	0.0035	Biotechnology	Biotechnology, Computer Science, Statistics, Computer Engineering	805	dog	519	-0.23	1014	0.9156	-0.1572	10
2	-65 m^2	0.8471	Computer Science	NULL	904	bird	623	0.7443	-142	-0.4079	0.7836	296
1	884 m^2	0.3711	Computer Engineering	Computer Engineering, Biotechnology	464	pig	311	-0.007	714	0.1076	0.4688	153
1	242 m^2	0.1149	Data Science	Computer Game Design, Statistics, Computer Science, Computer Engineering	657	rabbit	62	0.2008	1045	0.7402	-0.1205	428
2	394 m^2	0.5083	Natural Language Processing	Games and Playable Media, Applied Mathematics, Technology and Information Management	918	rabbit	1186	1.1436	496	0.1081	0.9915	-92
0	1129 m^2	0.4158	Applied Mathematics	Data Science, Computational Media, Natural Language Processing, Human Computer Interaction, Electrical Engineering	434	ferret	561	-0.007	418	0.7627	0.926	1004
0	554 m^2	0.2851	Computer Game Design	Electrical Engineering	211	rat	343	0.57	1059	0.5434	1.2852	272
2	434 m^2	1.0767	Computer Game Design	Computer Game Design	794	reptile	754	0.9137	-96	0.0311	0.6883	333
0	1003 m^2	0.6749	Computer Game Design	Electrical Engineering, Natural Language Processing, Bioengineering, Bioinformatics, Computational Media, Data Science	-17	fish	-18	0.2273	273	0.4738	1.0587	431
0	1181 m^2	-0.0898	Applied Mathematics	Natural Language Processing	-391	fish	-62	-0.1485	377	0.4899	0.9943	762
1	387 m^2	0.27	Human Computer Interaction	Bioinformatics, Electrical Engineering	571	chicken	462	0.4869	1050	0.4231	0.528	633
2	22 m^2	0.543	Robotics Engineering	Applied Mathematics, Games and Playable Media	1036	fish	627	0.9691	123	0.0509	0.8138	259
2	140 m^2	1.1613	Robotics Engineering	Games and Playable Media, Technology and Information Management	1042	HAMSTER	1134	1.4312	140	0.0938	0.2991	88
0	1383 m^2	0.2866	Natural Language Processing	Bioengineering, Natural Language Processing, Electrical Engineering, Computational Media	-29	fish	-91	0.6413	657	0.8575	1.06	1163
0	1281 m^2	0.6035	Computer Game Design	Games and Playable Media, Robotics Engineering	17	ferret	29	0.4308	632	0.3767	0.5984	996
0	252 m^2	0.4365	Robotics Engineering	Bioengineering	127	ferret	376	0.4518	261		0.9902	877
0	898 m^2	0.4637	Natural Language Processing	Electrical Engineering, Computational Media, Human Computer Interaction, Bioinformatics, Bioengineering, Data Science	380	guinea pig	-134	0.5145	548	0.4593	0.5157	1091
0	648 m^2	0.9863	Statistics	Applied Mathematics	-336	ferret	484	0.6248	292	1.2836	0.8144	1045
1	929 m^2	0.4818	NULL	Computer Game Design, Biotechnology	222	cat	775	0.1771	N/A	0.7456	0.1811	-14
0	742 m^2	0.7089	Games and Playable Media	Bioengineering, Human Computer Interaction, Natural Language Processing, Electrical Engineering, Data Science, Computational Media	258	guinea pig	156	0.3388	288	0.4777	0.8591	1296
2	409 m^2	0.5459	Games and Playable Media	Robotics Engineering	666	hamster	1013	0.5796	-267	-0.2617	0.4027	-269
2	-170 m^2	0.5484	Games and Playable Media	Applied Mathematics, Games and Playable Media	1006	reptile	511	0.9136	22	0.4052	0.3859	330
1	544 m^2	-0.3201	ELECTRICAL ENGINEERING	Computer Game Design, Computer Science, Computer Engineering	411	dog	360	-0.2574	1135	1.3682	0.1721	63
0	571 m^2	0.7292	Statistics	Data Science, Electrical Engineering, Bioengineering, Human Computer Interaction, Computational Media	-192	rat	-131	0.1916	455	0.9891	1.2373	1041
1	571 m^2	0.056	Computer Engineering	Computer Engineering	104	CAT	377	0.699	595	0.6127	0.3185	283
2	67 m^2	0.8595	GAMES AND PLAYABLE MEDIA	Games and Playable Media, Applied Mathematics, Robotics Engineering	1221	reptile	1035	0.5246	278	0.1851	0.4986	1227
1	579 m^2	0.0309	Bioengineering	Statistics, Computer Science, Biotechnology	541	dog	469	0.0799	1048	0.4711	0.0743	55
1	526 m^2	0.1502	technology and information management	Computer Science	755	rabbit	435	0.1881	1264	0.8713	0.0084	107
0	1243 m^2	0.5246	Computer Science	Electrical Engineering, Human Computer Interaction, Natural Language Processing, Bioengineering, Computational Media, Bioinformatics	29	ferret	518	0.032	176	0.828	1.0247	921
2	-61 m^2	0.6373	Robotics Engineering	Technology and Information Management, Robotics Engineering, Applied Mathematics	733	hamster	837	0.9892	84	0.1654	0.1938	531
0	984 m^2	0.2435	Computer Game Design	Computational Media, Bioinformatics	286	fish	203	0.4853	619	0.716	1.3536	923
1	771 m^2	0.3086	Computer Engineering	Biotechnology, Computer Game Design, Statistics	1024	cat	211	0.383	1287	0.7125	0.1348	-154
2	-164 m^2	0.1522	Robotics Engineering	Applied Mathematics, Games and Playable Media, Technology and Information Management	1152	hamster	801	0.6389	-525	0.0737	0.4316	-404
0	803 m^2	0.7237	Applied Mathematics	Natural Language Processing, Data Science, Computational Media, Human Computer Interaction	274	guinea pig	-64	0.2998	-78	0.5571	1.2249	743
1	565 m^2	0.8177	Data Science	Computer Engineering, Biotechnology	748	rabbit	570	0.3085	1508	1.1052	-0.3283	-266
1	664 m^2	-0.0326	Data Science	Computer Engineering, Statistics, Computer Game Design, Biotechnology	567	dog	-132	0.102	1742	1.3222	0.1774	359
1	807 m^2	-0.0141	Computer Engineering	Biotechnology	743	cat	623	0.5838	937	0.6961	0.5254	181
0	898 m^2	0.3197	Applied Mathematics	Bioinformatics, Electrical Engineering, Bioengineering, Computational Media, Data Science, Human Computer Interaction	-83	guinea pig	207	0.7312	744	0.8226	0.8669	165
0	1368 m^2	0.6901	Human Computer Interaction	Natural Language Processing, Bioengineering, Electrical Engineering, Bioinformatics, Human Computer Interaction, Data Science	-172	ferret	476	0.4647	147	0.2728	0.7999	1041
0	944 m^2	0.256	rOBOTICS eNGINEERING	NATURAL LANGUAGE PROCESSING, BIOENGINEERING, ELECTRICAL ENGINEERING	83	fish	232	0.3014	-110	0.7843	0.7029	840
2	270 m^2	0.6925	Robotics Engineering	technology and information management, games and playable media	1071	hamster	928	0.5713	200	0.0372	0.95	271
1	501 m^2	0.5852	Computer Engineering	Computer Engineering	890	dog	n/a	0.3553	1338	1.1271	-0.1568	511
1	202 m^2	0.3881	None	Biotechnology, Statistics	1141	chicken	469	-0.1086	1015	1.1712	0.1536	-408
1	474 m^2	0.1745	Computer Engineering	Computer Game Design, Biotechnology, Computer Engineering	237	pig	409	0.4376	1481	1.0831	-0.1909	286
2	-284 m^2	0.4154	Robotics Engineering	Applied Mathematics, Games and Playable Media	1122	hamster	735	0.8899	207	0.2372	0.806	-530
1	209 m^2	0.4823	Bioinformatics	Applied Mathematics, Robotics Engineering, Technology and Information Management	644	dog	221	0.0538	1140	0.9223	0.6469	335
0	682 m^2	-0.0649	Natural Language Processing	Human Computer Interaction, Bioinformatics	-59	ferret	286	0.5084	52	0.8681	1.1782	425
0	947 m^2	0.8008	Applied Mathematics	Human Computer Interaction, Natural Language Processing, Computational Media	-101	rat	-2	0.1614	59	0.2954	1.0619	848
0	883 m^2	0.4755	Natural Language Processing	data science, bioinformatics, electrical engineering, human computer interaction	373	pig	247	0.9713	385	0.8223	1.0113	896
0	1211 m^2	0.457	Natural Language Processing	Human Computer Interaction, Electrical Engineering, Data Science, Natural Language Processing, Bioinformatics	45	Guinea Pig	291	0.2509	744	0.3015	0.7979	617
1	649 m^2	0.4871	Data Science	Biotechnology, Computer Game Design, Computer Engineering	421	chicken	654	0.4179	1152	1.0856	0.0507	1116
2	131 m^2	0.7883	games and playable media	Applied Mathematics	808	reptile	900	0.8263	61	0.0554	0.4056	366
2	145 m^2	0.465	Robotics Engineering	Robotics Engineering, Games and Playable Media	866	bird	514	1.0155	-18	-0.0791	0.7881	-189
0	907 m^2	0.3408	Computer Game Design	Data Science, Electrical Engineering, Computational Media	93	ferret	446	0.0627	4	0.9833	?	1093
0	1049 m^2	0.8358	Computer Game Design	Computational Media, Bioengineering, Human Computer Interaction	306	ferret	384	0.6264	639	0.351	1.0905	502
0	901 m^2	0.0496	Computer Game Design	Bioinformatics, Human Computer Interaction, Electrical Engineering, Natural Language Processing, Bioengineering	195	fish	275	0.1954	231	0.7191	0.7541	1025
2	109 m^2	1.0148	Computer Science	Technology and Information Management	915	pig	579	1.52	None	0.2467	0.7843	-231
1	467 m^2	0.3255	Data Science	Applied Mathematics	380	dog	503	-0.0383	559	1.1407	0.2227	463
2	-45 m^2	0.5407	Robotics Engineering	Games and Playable Media, Technology and Information Management	610	reptile	485	0.9998	-479	0.2568	0.6298	-309
0	888 m^2	0.5238	n/a	Games and Playable Media, Technology and Information Management, Robotics Engineering	279	rat	294	0.5485	418	0.7134	0.9662	890
0	1013 m^2	0.3433	Applied Mathematics	Computational Media, Data Science, Electrical Engineering	-171	guinea pig	239	0.4928	-95	0.7242	0.9301	493
0	739 m^2	0.36	Computer Game Design	Data Science, Bioengineering, Computational Media	-378	guinea pig	-193	0.5099	-471	0.6082	0.6062	1038
2	627 m^2	0.6138	Electrical Engineering	Robotics Engineering, Games and Playable Media, Applied Mathematics	1067	bird	1031	0.6886	85	0.2404	0.6568	32
2	257 m^2	0.553	Biotechnology	Games and Playable Media, Robotics Engineering, Applied Mathematics	1030	hamster	1032	1.56	1033	0.3915	0.7956	444
2	236 m^2	0.5005	Biotechnology	APPLIED MATHEMATICS	813	hamster	342	0.891	172	0.1366	0.5637	707
2	31 m^2	0.582	Computer Science	Applied Mathematics	739	reptile	800	1.2269	218	-0.2731	0.1961	10
0	771 m^2	0.8251	Applied Mathematics	Data Science, Natural Language Processing, Bioinformatics, Human Computer Interaction, Computational Media, Bioengineering	-62	guinea pig	90	0.2295	-219	0.5915	0.997	463
2	314 m^2	-0.1032	Robotics Engineering	Games and Playable Media, Robotics Engineering, Applied Mathematics	1102	bird	821	1.2159	409	0.1856	0.5082	-49
1	431 m^2	-0.1039	Computer Engineering	Computer Engineering	394	dog	416	0.1133	1573	0.6643	-0.1571	96
1	391 m^2	-0.2578	Technology and Information Management	Computer Game Design, Statistics, Computer Engineering	274	DOG	101	0.3145	1355	1.1677	0.2642	-37
0	1082 m^2	0.2495	Natural Language Processing	Bioengineering, Human Computer Interaction, Natural Language Processing, Computational Media, Data Science	320	ferret	591	0.457	87	0.5505	0.7809	1076
1	649 m^2	0.1016	Bioinformatics	Computer Science, Computer Game Design, Statistics, Computer Engineering	893	chicken	388	0.3212	1015	0.9023	0.0232	751
0	1164 m^2	0.8738	Applied Mathematics	Natural Language Processing, Human Computer Interaction, Data Science	171	rat	514	-0.0167	558	0.8874	1.2956	1417
1	335 m^2	0.0332	Data Science	Statistics, Computer Engineering, Biotechnology	608	fish	368	None	794	1.0529	-0.0079	396
0	1399 m^2	0.3805	Natural Language Processing	Natural Language Processing, Computational Media, Bioengineering	-229	FERRET	7	0.6538	739	0.7871	0.5766	782
0	1492 m^2	0.3926	Natural Language Processing	Applied Mathematics, Robotics Engineering	348	ferret	290	0.3267	-7	0.5878	0.9628	1115
2	341 m^2	0.3973	Statistics	Computer Science, Computer Game Design, Statistics, Biotechnology	1069	hamster	618	1.3291	18	0.2931	0.6046	14
0	1694 m^2	0.466	Biotechnology	Data Science, Computational Media, Natural Language Processing	97	guinea pig	351	0.2364	-286	0.6617	1.0616	364
1	811 m^2	-0.2204	Data Science	Computer Engineering, Biotechnology	429	dog	411	0.0684	802	0.865	-0.097	363
1	822 m^2	0.5492	Data Science	Computer Science, Computer Engineering	595	hamster	401	0.0263	366	1.0689	0.0778	-35
0	882 m^2	0.4199	Applied Mathematics	Bioinformatics, Electrical Engineering, Human Computer Interaction, Bioengineering, Data Science	-48	guinea pig	79	0.5574	229	0.2798	1.0788	936
0	1136 m^2	0.5665	Applied Mathematics	Computational Media, Bioinformatics, Human Computer Interaction, Data Science, Bioengineering	-121	fish	366	0.7274	390	0.9353	0.8619	748
2	181 m^2	0.2836	Robotics Engineering	Games and Playable Media, Technology and Information Management, Robotics Engineering	790	chicken	791	0.5673	404	0.1751	0.6974	8
1	528 m^2	0.2211	Technology and Information Management	Computer Engineering, Computer Game Design, Statistics, Biotechnology	801	pig	557	0.0059	1415	1.1693	0.4027	490
1	55 m^2	-0.0102	Human Computer Interaction	Biotechnology, Computer Science	513	cat	114	0.1623	1296	0.8466	-0.2088	791
1	426 m^2	N/A	Technology and Information Management	Computer Game Design	685	rabbit	633	0.1233	830	0.7673	0.182	426
0	1063 m^2	0.5525	Computer Game Design	bIOTECHNOLOGY, cOMPUTER sCIENCE	87	guinea pig	350	0.366	-306	0.3377	0.7491	682
2	322 m^2	1.1208	Robotics Engineering	Applied Mathematics, Robotics Engineering	484	bird	892	0.7768	-397	-0.2358	0.834	438
0	568 m^2	0.7005	Statistics	Electrical Engineering, Human Computer Interaction	526	fish	266	0.2836	270	0.4431	0.6605	611
2	72 m^2	0.9379	Robotics Engineering	Robotics Engineering, Applied Mathematics	1089	bird	676	0.8002	10	0.3104	0.4869	783
1	783 m^2	-0.0933	Data Science	Biotechnology, Computer Game Design, Statistics	523	rabbit	205	0.3025	495	1.0468	0.1388	301
1	594 m^2	-0.0989	Bioinformatics	Bioinformatics, Data Science	611	rabbit	-176	0.093	1083	1.1438	0.2177	461
0	625 m^2	0.576	Applied Mathematics	Natural Language Processing	535	guinea pig	451	0.6527	578	0.5508	1.1203	1084
0	1060 m^2	0.773	Computer Game Design	Data Science	109	FERRET	450	0.5835	660	0.7962	0.6594	302
2	200 m^2	0.7759	Computer Science	Computer Engineering, Statistics, Biotechnology	660	reptile	802	0.6888	591	0.4134	0.786	0
0	678 m^2	0.7445	Computer Game Design	Natural Language Processing, Computational Media, Electrical Engineering, Bioinformatics	-210	fish	539	0.6282	689	0.9502	1.2284	933
1	514 m^2	0.319	Data Science	Computer Science, Statistics, Computer Engineering	840	dog	326	0.332	389	1.1529	0.1883	423
2	246 m^2	0.6326	Computer Science	Applied Mathematics	N/A	reptile	982	1.329	31	0.2407	0.084	-74
1	576 m^2	-0.4214	Human Computer Interaction	Computer Engineering, Biotechnology, Computer Science	477	pig	125	0.4965	520	1.1936	0.137	177
0	1455 m^2	-0.042	statistics	Bioinformatics	148	cat	186	0.6308	853	0.7395	1.0078	483
0	893 m^2	0.5809	Computer Game Design	Bioinformatics, Computational Media, Natural Language Processing, Data Science	33	rat	104	0.4517	445	0.9599	0.3683	676
2	20 m^2	0.3407	Computer Science	Robotics Engineering	794	bird	722	0.8784	365	0.4183	0.8045	-30
1	758 m^2	0.1861	Computer Engineering	Computer Engineering	428	cat	273	0.3265	1220	0.4504	0.1087	472
2	-86 m^2	0.8461	Biotechnology	Robotics Engineering, Technology and Information Management, Applied Mathematics	659	reptile	414	1.1414	244	-0.091	0.4053	297
0	772 m^2	0.2703	Computer Game Design	Bioengineering, Bioinformatics, Data Science, Computational Media	-112	fish	92	0.2491	614	0.8347	1.2741	650
1	980 m^2	-0.2386	Human Computer Interaction	Statistics, Computer Science	838	chicken	181	0.4796	1234	1.1421	0.0939	-75
1	574 m^2	-0.3006	Human Computer Interaction	Biotechnology	548	cat	167	0.3888	935	0.6505	0.0207	291
1	1133 m^2	-0.2547	Computational Media	Statistics, Biotechnology, Computer Game Design	617	rabbit	399	-0.4912	1499	?	0.3091	418
2	139 m^2	0.5295	Biotechnology	cOMPUTER eNGINEERING, cOMPUTER gAME dESIGN, sTATISTICS, bIOTECHNOLOGY	1151	reptile	791	1.0298	558	0.3071	0.644	440
0	692 m^2	0.7792	Computer Game Design	Human Computer Interaction, Data Science	108	rat	402	0.211	333	0.7629	0.6325	921
0	982 m^2	0.2576	Statistics	Computational Media, Electrical Engineering	-316	guinea pig	-219	0.6263	244	1.112	0.8424	281
2	33 m^2	0.5234	Robotics Engineering	Games and Playable Media	891	bird	655	0.9245	144	0.0087	0.5521	354
2	-96 m^2	0.6046	Biotechnology	Games and Playable Media	881	reptile	762	1.3966	567	0.3693	0.7698	374
0	1346 m^2	0.6585	Computer Game Design	Bioinformatics, Human Computer Interaction, Computational Media	124	rat	120	0.3009	328	0.398	0.8424	848
0	862 m^2	0.3707	Computer Game Design	Bioengineering, Human Computer Interaction, Data Science, Bioinformatics, Electrical Engineering	379	ferret	326	0.3299	425	0.5348	0.7679	526
1	321 m^2	-0.0377	Human Computer Interaction	Technology and Information Management, Games and Playable Media, Applied Mathematics	652	?	184	0.2994	984	1.0133	0.4053	726
